total_violent_crime,household_income
28499,34582
407,26972
19,43438
38950,41385
60653,46250
1905,28297
136,61573
2282,28817
1742,40651
74866,37192
154,52101
4458,36540
5235,41617
35205,47335
59476,42334
89515,41184
47941,47015
858,28889
3038,38502
1335,35231
2237,29149
6588,31671
2360,41401
19498,42089
52476,43193
23253,48359
522,26814
149,46623
5881,51304
639,36806
13373,47072
28468,53540
6366,42331
58073,56857
644,33833
10961,55449
801,34542
63,51000
16993,43918
635,40064
318,38328
10391,50578
6371,51466
5554,41366
6648,46036
2066,33233
1845,33796
4384,36323
15647,44397
659,34036
432,34131
38032,48801
351,31967
974,27373
2946,37383
15151,37626
681,37237
30314,48181
3589,32497
12013,42568
1456,41025
797,31483
210023,53137
1953,40585
42912,45215
534,29787
122,26986
1787,38953
73306,52873
127,29071
4121,48196
1047,36120
453,36356
1832,35830
12918,46369
147,72742
58250,47581
1753,24480
26821,55095
1200,39844
784,31494
17087,46702
130943,43100
2627,38070
362,36066
840,44731
11288,40496
349,27186
374,28853
972,38280
1449,42981
130,27796
1111,32326
1842,30573
4464,42346
710,34233
1534,35425
42674,48323
18964,40337
266,44170
16165,42431
17402,47057
26949,49865
1440,39669
1253,32046
20002,61683
1415,39876
10164,42149
7842,50712
5210,42110
1557,25849
22,67321
3869,41083
10825,41579
1513,33103
843,25886
202273,54548
5280,50496
5861,37951
9201,39402
277,28326
1003,29282
12841,47876
18478,49094
1009,39993
21182,64537
2611,33479
6448,39479
19207,49022
37090,46959
14735,40606
333,32155
2481,43765
1149,39470
2679,49165
1244,32556
3539,41400
1065,40250
811,30973
566,34419
6972,45808
4347,46407
1630,34424
13494,44747
212,49389
1030,33229
2298,34969
2712,45336
7664,50750
2189,34591
38929,45535
5374,38145
1538,31410
3383,39131
57,31068
3954,51092
446,57825
3597,41534
3617,50364
144,34702
554,36296
3964,66689
19686,48039
5683,49617
5988,57316
7287,55149
1465,45612
623,44764
535,34797
285,30345
234,28983
8235,40979
925,35487
1394,35380
8704,54066
693,43726
10407,37550
20679,47694
1540,38897
2299,38461
15615,64041
361,42568
1492,38343
16082,55298
2674,41394
1304,41881
3728,53607
647,39248
878,35947
348,30325
1306,46361
2576,43546
599,28547
28106,66486
1680,42451
1586,34570
3573,42217
1205,42469
5164,58529
1677,32751
1704,38378
2859,50694
901,46908
8281,47461
1935,31778
692,47027
394,29609
2341,42506
6095,45525
1512,40566
85,48667
12348,41339
417,85478
342,36258
10595,43891
7097,53740
8894,48451
4659,50833
8772,45321
352,38534
676,40259
23399,53325
13539,57654
1028,43504
5331,46166
152,38902
1049,33622
8943,39453
50743,52432
41623,52511
2656,40131
1895,31252
1477,35240
2884,42764
25,37660
613,40704
607,30714
75839,51251
3697,40758
592,28275
1241,51425
493,36681
957,41571
5930,54684
3276,43798
1149,30619
2745,39596
22167,54247
341,27766
1680,49559
1988,53274
1857,37618
554,39591
9724,54235
170,48586
7515,52710
7663,46085
334,35150
12940,37749
162,36387
1242,41718
357,37849
6676,41910
3266,44858
689,38764
5204,63629
2686,47228
529,38514
1416,39334
1716,44601
9904,73480
8514,55401
2102,63435
5638,52735
609,32951
3241,33709
106199,49481
17322,87430
106,39051
15256,58442
763,34129
338,40455
1527,37595
826,37276
1143,39013
426,41658
1155,71525
84,56379
194,36556
5333,43633
10965,42919
19402,42457
103495,50112
20608,65223
6255,42971
4217,45747
12294,39449
1428,37368
37683,59204
2106,39208
444,56259
1304,41878
1130,44981
755,50565
256,35260
1509,41624
1727,45752
1058,36809
682,43536
2226,37188
730,40850
187,43034
6780,60526
2182,35693
96,48992
853,34474
11,42429
1619,52423
6648,38310
5231,53857
1180,47945
6748,51027
6093,40399
75725,56853
2251,53931
977,37933
20490,49035
4951,34110
896,39512
505,45729
210,25625
210,40895
1275,38679
44720,64403
31505,51366
922,43085
1794,34572
128,47532
52,34080
4283,47197
27,37071
5118,59482
6058,45693
4635,42075
11084,50060
391,30302
13122,50792
1656,51990
2444,35545
2610,39871
1306,40411
5171,57408
1222,47040
403,43615
702,36999
845,38019
1358,49820
17426,51667
504,36434
1679,52792
886,39839
5421,33060
1422,31304
8092,43413
908,34902
397,31928
1701,37617
205,33757
7750,47432
1852,41025
1070,50287
22636,40157
336,27430
249,35625
1906,32484
315,36920
3420,46559
855,44128
11206,45794
163,31132
621,39267
64,45871
2415,43832
1793,35715
1105,40759
5394,44363
1348,51178
3465,41354
6802,52427
293,40771
1012,37898
2049,40795
783,38495
912,40417
5161,41788
1212,34641
835,35817
184,32628
1615,61893
3955,93160
381,25252
669,43994
8428,45775
491,41586
13016,53040
4457,48702
1591,40653
17270,67311
248,30049
2392,40900
511,34454
986,35615
1816,31943
5054,49508
248,42260
16,46875
935,26619
1167,45045
15893,48398
218,30521
1323,39776
1720,41012
5029,44891
109,43409
30050,49233
1836,34842
878,36741
1159,51555
7247,69743
543,37631
11196,75092
6197,48627
11911,51574
2826,39293
931,44152
326,46035
452,47513
219,33519
496,33981
154,27743
111,34496
3229,50580
1929,40104
3626,46516
1646,43640
2410,57952
1537,42365
11255,43506
253,54554
543,45212
396,40601
3623,52579
585,34239
1472,34984
960,36273
4125,40821
2560,49507
5963,52917
921,35698
35178,49596
1202,39467
143,42279
1244,43125
218,41169
1073,58632
760,38823
1446,70238
235,42045
212,36354
8600,54061
20819,49297
1881,45675
21348,43113
1571,44318
150,36753
869,37899
715,32221
51600,58025
3653,45991
527,53826
13470,68507
2385,38138
368,31161
2172,50657
293,48433
2640,43620
599,59338
3037,36203
107,49150
387,37716
9994,44582
1953,34035
541,31446
585,37800
93,47292
896,35273
2109,34793
1024,52446
2726,47215
85,33717
17301,47439
294,41550
11190,54989
599,42291
87570,71811
1579,49637
270,106686
1955,46071
2071,51750
244,39452
594,41494
701,40916
345,34397
685,50185
4419,43649
3318,48450
483,30764
318,43589
6059,54893
10734,55170
164,37111
263,43288
5032,38374
11644,58175
7083,44509
1928,37378
557,38550
435,39208
1049,71036
1209,43096
1653,43997
608,41952
5375,52345
560,41016
1702,40926
271,64042
2074,36777
88,27645
762,34399
191,51670
3304,39100
8334,45035
2913,42287
117,27115
2983,60390
236,50473
435,39067
153,57906
49600,60555
1585,32533
662,37081
33,41765
1026,54854
520,32291
1013,37292
819,44847
157,28390
4366,49217
14805,43888
3727,37365
382,51534
2568,66085
142,46512
233,48866
313,42133
1479,53663
8569,44005
12283,49052
33273,34146
724,60104
3713,46615
2985,41161
171,44078
55,46597
2102,30786
108,39385
170,32078
102,26688
1197,34202
16665,59018
306,30802
1358,44051
409,32556
1108,36950
61,51548
631,41268
6735,43540
140,32723
3339,50102
4222,44772
579,38447
545,38579
131,40282
1671,43885
342,43605
213,39781
394,26968
75,52264
766,52453
380,47019
4093,45856
4213,47596
95,39722
109,38548
2088,41030
269,33386
3313,28093
1781,45073
1249,42369
29934,58910
808,35598
1587,39745
351,39940
5593,44246
2453,45376
2813,62052
1555,40667
180,49038
3813,46147
4108,62993
500,42565
932,44724
2960,52369
416,39074
117,40964
621,41141
1715,31395
96,50605
83,46667
5318,48943
1287,46137
386,46951
783,52691
193,49964
2257,38350
518,31163
443,51826
5005,49002
5150,41024
1410,41010
299,35306
3637,55509
369,34604
9647,59055
919,47862
47,33611
458,45146
3911,45949
210,29012
445,34534
511,48341
131,32845
233,34694
135,52233
278,23689
3987,46117
630,32054
20857,53451
264,37679
155,47831
379,37079
308,29379
211,38958
596,44972
949,42904
137,53213
895,36413
35,64632
379,43276
416,40126
413,63076
65,26028
1135,46600
6108,51342
46,37151
270,40295
135,32260
174,43502
12111,49370
262,58112
917,50830
207,23892
730,41637
44,42411
140,52832
461,28116
426,36727
112,45920
1071,34348
957,31189
1860,45129
248,59472
2100,38580
368,35955
5204,64876
8862,44402
1480,38710
62,45932
471,38501
592,26336
1122,42898
233,42192
4780,80622
802,62535
493,38795
2731,48712
624,49754
5555,53119
329,45888
139,35271
84,39826
771,42751
96,33779
89,39469
104,39049
1006,41136
812,37125
829,42824
647,49543
4532,52691
1546,48687
315,51482
4165,44545
836,37040
707,37333
55,39333
2258,44530
1818,43886
294,30201
3143,37733
2510,46033
1124,35578
251,43257
141,27455
724,39746
859,43764
2747,35560
278,26634
2341,44173
965,40769
1363,33771
2743,46581
175,37319
8866,62413
2115,37238
408,45413
618,51867
3120,65839
1388,39263
382,42914
9925,61877
2751,48755
268,44885
2585,43590
1712,59718
1186,44195
919,36473
4673,56494
440,36022
1530,41964
1110,36964
1105,62351
4308,53972
445,28645
18660,63920
3308,40471
1520,48900
261,31539
1084,72489
670,35792
1177,42676
186,45519
3631,49846
190,37327
113,65750
4126,37474
989,35742
539,43775
1428,47964
1180,24927
197,41332
4451,43120
1149,36542
1692,43183
405,43010
31,37607
2816,58017
829,40965
282,38440
194,33198
762,38245
678,50695
10583,54923
5237,40052
57,36815
3756,48066
57,45464
2388,38904
17907,33179
3498,55609
1157,48953
1373,38659
194,42660
397,38443
2205,47233
641,47133
